Time,Movement,Light,Temperature,Humidity,Sound
02:44:16,0,44,21.50,37.00,1
02:44:17,0,40,21.50,37.00,1
02:44:18,0,44,21.50,37.00,1
02:44:19,0,40,21.50,37.00,1
02:44:20,0,44,21.50,37.00,1
02:44:21,0,40,21.50,37.00,1
02:44:22,0,44,21.50,37.00,1
02:44:23,0,40,21.50,37.00,1
02:44:24,0,44,21.50,37.00,1
02:44:25,0,40,21.50,37.00,1
02:44:26,0,44,21.50,37.00,1
02:44:27,0,40,21.50,37.00,1
02:44:28,0,44,21.50,37.00,1
02:44:29,0,40,21.50,37.00,1
02:44:30,0,44,21.50,37.00,1
02:44:31,0,40,21.50,37.00,1
02:44:32,0,44,21.50,37.00,1
02:44:33,0,40,21.50,37.00,1
02:44:34,0,46,21.50,37.00,1
02:44:35,0,40,21.50,37.00,1
02:44:36,0,44,21.50,37.00,1
02:44:37,0,40,21.50,37.00,1
02:44:38,0,44,21.50,37.00,1
02:44:39,0,40,21.50,37.00,1
02:44:40,0,44,21.50,37.00,1
02:44:41,0,40,21.50,37.00,1
02:44:42,0,44,21.50,37.00,1
02:44:43,0,40,21.50,37.00,1
02:44:44,0,44,21.50,37.00,1
02:44:45,0,40,21.50,37.00,1
02:44:46,0,44,21.50,37.00,1
02:44:47,0,40,21.50,37.00,1
02:44:48,0,44,21.50,37.00,1
02:44:49,0,40,21.50,37.00,1
02:44:50,0,44,21.50,37.00,1
02:44:51,0,40,21.50,37.00,1
02:44:52,0,44,21.50,37.00,1
02:44:53,0,40,21.50,37.00,1
02:44:54,0,44,21.50,37.00,1
02:44:56,0,40,21.50,37.00,1
02:44:57,0,44,21.50,37.00,1
02:44:58,0,41,21.50,37.00,1
02:44:59,0,44,21.50,37.00,1
02:45:00,0,40,21.50,37.00,1
02:45:01,0,44,21.50,37.00,1
02:45:02,0,40,21.50,37.00,1
02:45:03,0,44,21.50,37.00,1
02:45:04,0,40,21.50,37.00,1
02:45:05,0,44,21.50,37.00,1
02:45:06,0,40,21.50,37.00,1
02:45:07,0,44,21.50,37.00,1
02:45:08,0,40,21.50,37.00,1
02:45:09,0,44,21.50,37.00,1
02:45:10,0,40,21.50,37.00,1
02:45:11,0,44,21.50,37.00,1
02:45:12,0,40,21.50,37.00,1
02:45:13,0,46,21.50,37.00,1
02:45:14,0,40,21.50,37.00,1
02:45:15,0,44,21.50,37.00,1
02:45:16,0,40,21.50,37.00,1
02:45:17,0,44,21.50,37.00,1
02:45:18,0,40,21.50,37.00,1
02:45:19,0,44,21.50,37.00,1
02:45:20,0,41,21.50,37.00,1
02:45:21,0,45,21.50,37.00,1
02:45:22,0,40,21.50,37.00,1
02:45:23,0,44,21.50,37.00,1
02:45:24,0,40,21.50,37.00,1
02:45:25,0,44,21.50,37.00,1
02:45:26,0,40,21.50,37.00,1
02:45:27,0,44,21.50,37.00,1
02:45:28,0,40,21.50,37.00,1
02:45:29,0,45,21.50,37.00,1
02:45:30,0,40,21.50,37.00,1
02:45:31,0,45,21.50,37.00,1
02:45:32,0,40,21.50,37.00,1
02:45:33,0,44,21.50,37.00,1
02:45:34,0,40,21.50,37.00,1
02:45:35,0,44,21.50,37.00,1
02:45:36,0,41,21.50,37.00,1
02:45:37,0,44,21.50,37.00,1
02:45:38,0,40,21.50,37.00,1
02:45:39,0,44,21.50,37.00,1
02:45:40,0,40,21.50,37.00,1
02:45:41,0,44,21.50,37.00,1
02:45:43,0,41,21.50,37.00,1
02:45:44,0,44,21.50,37.00,1
02:45:45,0,40,21.50,37.00,1
02:45:46,0,44,21.50,37.00,1
02:45:47,0,40,21.50,37.00,1
02:45:48,0,44,21.50,37.00,1
02:45:49,0,40,21.50,37.00,1
02:45:50,0,45,21.50,37.00,1
02:45:51,0,40,21.50,37.00,1
02:45:52,0,44,21.50,37.00,1
02:45:53,0,40,21.50,37.00,1
02:45:54,0,44,21.50,37.00,1
02:45:55,0,40,21.50,37.00,1
02:45:56,0,44,21.50,37.00,1
02:45:57,0,40,21.50,37.00,1
02:45:58,0,44,21.50,37.00,1
02:45:59,0,40,21.50,37.00,1
02:46:00,0,44,21.50,37.00,1
02:46:01,0,40,21.50,37.00,1
02:46:02,0,44,21.50,37.00,1
02:46:03,0,41,21.50,37.00,1
02:46:04,0,44,21.50,37.00,1
02:46:05,0,40,21.50,37.00,1
02:46:06,0,44,21.50,37.00,1
02:46:07,0,40,21.50,37.00,1
02:46:08,0,44,21.50,37.00,1
02:46:09,0,40,21.50,37.00,1
02:46:10,0,44,21.50,37.00,1
02:46:11,0,40,21.50,37.00,1
02:46:12,0,44,21.50,37.00,1
02:46:13,0,40,21.50,37.00,1
02:46:14,0,44,21.50,37.00,1
02:46:15,0,40,21.50,37.00,1
02:46:16,0,44,21.50,37.00,1
02:46:17,0,40,21.50,37.00,1
02:46:18,0,44,21.50,37.00,1
02:46:19,0,40,21.50,37.00,1
02:46:20,0,44,21.50,37.00,1
02:46:21,0,40,21.50,37.00,1
02:46:22,0,44,21.50,37.00,1
02:46:23,0,40,21.50,37.00,1
02:46:24,0,44,21.50,37.00,1
02:46:25,0,40,21.50,37.00,1
02:46:26,0,44,21.50,37.00,1
02:46:27,0,40,21.50,37.00,1
02:46:28,0,44,21.50,37.00,1
02:46:30,0,40,21.50,37.00,1
02:46:31,0,44,21.50,37.00,1
02:46:32,0,40,21.50,37.00,1
02:46:33,0,44,21.50,37.00,1
02:46:34,0,40,21.50,37.00,1
02:46:35,0,44,21.50,37.00,1
02:46:36,0,40,21.50,37.00,1
02:46:37,0,45,21.50,37.00,1
02:46:38,0,40,21.50,37.00,1
02:46:39,0,45,21.50,37.00,1
02:46:40,0,41,21.50,37.00,1
02:46:41,0,44,21.50,37.00,1
02:46:42,0,40,21.50,37.00,1
02:46:43,0,44,21.50,37.00,1
02:46:44,0,40,21.50,37.00,1
02:46:45,0,44,21.50,37.00,1
02:46:46,0,40,21.50,37.00,1
02:46:47,0,45,21.50,37.00,1
02:46:48,0,41,21.50,37.00,1
02:46:49,0,44,21.50,37.00,1
02:46:50,0,40,21.50,37.00,1
02:46:51,0,44,21.50,37.00,1
02:46:52,0,40,21.50,37.00,1
02:46:53,0,44,21.50,37.00,1
02:46:54,0,40,21.50,37.00,1
02:46:55,0,44,21.50,37.00,1
02:46:56,0,40,21.50,37.00,1
02:46:57,0,44,21.50,37.00,1
02:46:58,0,40,21.50,37.00,1
02:46:59,0,44,21.50,37.00,1
02:47:00,0,41,21.50,37.00,1
02:47:01,0,45,21.50,37.00,1
02:47:02,0,40,21.50,37.00,1
02:47:03,0,45,21.50,37.00,1
02:47:04,0,40,21.50,37.00,1
02:47:05,0,44,21.50,37.00,1
02:47:06,0,40,21.50,37.00,1
02:47:07,0,45,21.50,37.00,1
02:47:08,0,40,21.50,37.00,1
02:47:09,0,44,21.50,37.00,1
02:47:10,0,40,21.50,37.00,1
02:47:11,0,45,21.50,37.00,1
02:47:12,0,40,21.50,37.00,1
02:47:13,0,44,21.50,37.00,1
02:47:14,0,40,21.50,37.00,1
02:47:15,0,45,21.50,37.00,1
02:47:17,0,40,21.50,37.00,1
02:47:18,0,44,21.50,37.00,1
02:47:19,0,40,21.50,37.00,1
02:47:20,0,44,21.50,37.00,1
02:47:21,0,40,21.50,37.00,1
02:47:22,0,44,21.50,37.00,1
02:47:23,0,40,21.50,37.00,1
02:47:24,0,44,21.50,37.00,1
02:47:25,0,40,21.50,37.00,1
02:47:26,0,44,21.50,37.00,1
02:47:27,0,40,21.50,37.00,1
02:47:28,0,44,21.50,37.00,1
02:47:29,0,40,21.50,37.00,1
02:47:30,0,44,21.50,37.00,1
02:47:31,0,40,21.50,37.00,1
02:47:32,0,44,21.50,37.00,1
02:47:33,0,40,21.50,37.00,1
02:47:34,0,44,21.50,37.00,1
02:47:35,0,40,21.50,37.00,1
02:47:36,0,44,21.50,37.00,1
02:47:37,0,40,21.50,37.00,1
02:47:38,0,44,21.50,37.00,1
02:47:39,0,40,21.50,37.00,1
02:47:40,0,44,21.50,37.00,1
02:47:41,0,40,21.50,37.00,1
02:47:42,0,44,21.50,37.00,1
02:47:43,0,40,21.50,37.00,1
02:47:44,0,44,21.50,37.00,1
02:47:45,0,40,21.50,37.00,1
02:47:46,0,44,21.50,37.00,1
02:47:47,0,41,21.50,37.00,1
02:47:48,0,45,21.50,37.00,1
02:47:49,0,41,21.50,37.00,1
02:47:50,0,44,21.50,37.00,1
02:47:51,0,40,21.50,37.00,1
02:47:52,0,45,21.50,37.00,1
02:47:53,0,40,21.50,37.00,1
02:47:54,0,44,21.50,37.00,1
02:47:55,0,40,21.50,37.00,1
02:47:56,0,44,21.50,37.00,1
02:47:57,0,40,21.50,37.00,1
02:47:58,0,44,21.50,37.00,1
02:47:59,0,40,21.50,37.00,1
02:48:00,0,44,21.50,37.00,1
02:48:01,0,40,21.50,37.00,1
02:48:02,0,44,21.50,37.00,1
02:48:03,0,40,21.50,37.00,1
02:48:05,0,44,21.50,37.00,1
02:48:06,0,40,21.50,37.00,1
02:48:07,0,44,21.50,37.00,1
02:48:08,0,40,21.50,37.00,1
02:48:09,0,44,21.50,37.00,1
02:48:10,0,40,21.50,37.00,1
02:48:11,0,44,21.50,37.00,1
02:48:12,0,40,21.50,37.00,1
02:48:13,0,45,21.50,37.00,1
02:48:14,0,40,21.50,37.00,1
02:48:15,0,45,21.40,37.00,1
02:48:16,0,40,21.40,37.00,1
02:48:17,0,46,21.50,37.00,1
02:48:18,0,40,21.50,37.00,1
02:48:19,0,44,21.50,37.00,1
02:48:20,0,40,21.50,37.00,1
02:48:21,0,44,21.50,37.00,1
02:48:22,0,40,21.50,37.00,1
02:48:23,0,47,21.50,37.00,1
02:48:24,0,40,21.50,37.00,1
02:48:25,0,44,21.50,37.00,1
02:48:26,0,40,21.50,37.00,1
02:48:27,0,44,21.50,37.00,1
02:48:28,0,40,21.50,37.00,1
02:48:29,0,45,21.50,37.00,1
02:48:30,0,40,21.50,37.00,1
02:48:31,0,44,21.40,37.00,1
02:48:32,0,40,21.40,37.00,1
02:48:33,0,44,21.50,37.00,1
02:48:34,0,40,21.50,37.00,1
02:48:35,0,44,21.50,37.00,1
02:48:36,0,40,21.50,37.00,1
02:48:37,0,44,21.50,37.00,1
02:48:38,0,40,21.50,37.00,1
02:48:39,0,44,21.40,37.00,1
02:48:40,0,40,21.40,37.00,1
02:48:41,0,44,21.50,37.00,1
02:48:42,0,40,21.50,37.00,1
02:48:43,0,44,21.50,37.00,1
02:48:44,0,40,21.50,37.00,1
02:48:45,0,44,21.40,37.00,1
02:48:46,0,40,21.40,37.00,1
02:48:47,0,44,21.50,37.00,1
02:48:48,0,40,21.50,37.00,1
02:48:49,0,45,21.50,37.00,1
02:48:51,0,40,21.50,37.00,1
02:48:52,0,44,21.50,37.00,1
02:48:53,0,40,21.50,37.00,1
02:48:54,0,44,21.40,37.00,1
02:48:55,0,40,21.40,37.00,1
